N	AnArea	ArtArea	Diff
0	0.499250	0.514028	0.014778
1	0.503750	0.508472	0.004722
2	0.520500	0.496944	-0.023556
3	0.525750	0.505139	-0.020611
4	0.515750	0.497639	-0.018111
5	0.525000	0.512778	-0.012222
6	0.533250	0.513472	-0.019778
7	0.502500	0.505694	0.003194
8	0.531750	0.507361	-0.024389
9	0.523000	0.520694	-0.002306
10	0.513750	0.517361	0.003611
11	0.522000	0.505417	-0.016583
12	0.528750	0.525556	-0.003194
13	0.517250	0.503056	-0.014194
14	0.520000	0.507778	-0.012222
15	0.518250	0.517639	-0.000611
16	0.516000	0.519167	0.003167
17	0.520250	0.519028	-0.001222
18	0.504750	0.499167	-0.005583
19	0.502500	0.505139	0.002639
