N	AnArea	ArtArea	Diff
0	0.316000	0.271667	-0.044333
1	0.311500	0.275278	-0.036222
2	0.316750	0.272222	-0.044528
3	0.315000	0.277083	-0.037917
4	0.307000	0.273889	-0.033111
5	0.308000	0.268889	-0.039111
6	0.314750	0.268472	-0.046278
7	0.320250	0.262361	-0.057889
8	0.309750	0.275972	-0.033778
9	0.311500	0.270278	-0.041222
10	0.311375	0.269861	-0.041514
11	0.310000	0.268194	-0.041806
12	0.314750	0.271389	-0.043361
13	0.312500	0.272500	-0.040000
14	0.316750	0.267778	-0.048972
15	0.314750	0.270556	-0.044194
16	0.312750	0.266944	-0.045806
17	0.306625	0.274375	-0.032250
18	0.317000	0.272083	-0.044917
19	0.311500	0.269583	-0.041917
