N	AnArea	ArtArea	Diff
0	0.499500	0.535694	0.036194
1	0.485750	0.542917	0.057167
2	0.491750	0.539306	0.047556
3	0.485000	0.537361	0.052361
4	0.476750	0.548750	0.072000
5	0.522000	0.546111	0.024111
6	0.496250	0.551944	0.055694
7	0.484000	0.526667	0.042667
8	0.495500	0.570000	0.074500
9	0.480500	0.557500	0.077000
10	0.485500	0.550000	0.064500
11	0.482500	0.550139	0.067639
12	0.488250	0.536944	0.048694
13	0.497000	0.527222	0.030222
14	0.486250	0.558611	0.072361
15	0.495000	0.550694	0.055694
16	0.484000	0.544167	0.060167
17	0.495500	0.540694	0.045194
18	0.472250	0.557778	0.085528
19	0.490000	0.546806	0.056806
