N	AnArea	ArtArea	Diff
0	0.524500	0.521806	-0.002694
1	0.507750	0.563611	0.055861
2	0.499750	0.526528	0.026778
3	0.508250	0.543750	0.035500
4	0.493000	0.523056	0.030056
5	0.494250	0.524306	0.030056
6	0.509000	0.526250	0.017250
7	0.502500	0.536806	0.034306
8	0.508000	0.520694	0.012694
9	0.495000	0.524722	0.029722
10	0.495000	0.559167	0.064167
11	0.507000	0.526528	0.019528
12	0.507750	0.529583	0.021833
13	0.504250	0.521944	0.017694
14	0.489000	0.519861	0.030861
15	0.502750	0.525139	0.022389
16	0.513250	0.536111	0.022861
17	0.519000	0.526389	0.007389
18	0.506250	0.529861	0.023611
19	0.506750	0.530417	0.023667
