N	AnArea	ArtArea	Diff
0	0.446500	0.384444	-0.062056
1	0.385500	0.378889	-0.006611
2	0.385500	0.392222	0.006722
3	0.381000	0.376667	-0.004333
4	0.381000	0.367222	-0.013778
5	0.384500	0.375833	-0.008667
6	0.373000	0.366389	-0.006611
7	0.385000	0.386944	0.001944
8	0.384000	0.357778	-0.026222
9	0.399000	0.388611	-0.010389
10	0.383500	0.387500	0.004000
11	0.386500	0.357778	-0.028722
12	0.394000	0.375833	-0.018167
13	0.390500	0.390556	0.000056
14	0.378500	0.366667	-0.011833
15	0.378500	0.357500	-0.021000
16	0.395000	0.375556	-0.019444
17	0.413500	0.387500	-0.026000
18	0.397500	0.389444	-0.008056
19	0.400000	0.376944	-0.023056
