N	AnArea	ArtArea	Diff
0	0.109000	0.111111	0.002111
1	0.119000	0.097222	-0.021778
2	0.116000	0.101111	-0.014889
3	0.110000	0.097222	-0.012778
4	0.110000	0.096667	-0.013333
5	0.115000	0.097222	-0.017778
6	0.102000	0.096667	-0.005333
7	0.117000	0.096111	-0.020889
8	0.109000	0.092222	-0.016778
9	0.114000	0.102778	-0.011222
10	0.121000	0.094444	-0.026556
11	0.109000	0.103889	-0.005111
12	0.120000	0.097778	-0.022222
13	0.115000	0.097778	-0.017222
14	0.111000	0.095556	-0.015444
15	0.105000	0.095556	-0.009444
16	0.106000	0.095556	-0.010444
17	0.116000	0.095556	-0.020444
18	0.114000	0.098889	-0.015111
19	0.107000	0.096111	-0.010889
