layer	prop_neg	prop_pos	weight_min	weight_max	weight_mean
0	0.483435	0.516565	-1.208768	1.162268	0.019723
1	0.489502	0.510498	-0.850870	2.774659	0.035342
2	0.574363	0.425637	-2.497630	2.765384	-0.045396
0	0.463976	0.536024	-0.961075	1.126344	0.025273
1	0.458496	0.541504	-1.264803	2.727148	0.045517
2	0.564742	0.435258	-2.698511	2.749594	-0.053598
0	0.458406	0.541594	-1.101465	1.054822	0.026412
1	0.448975	0.551025	-1.031826	2.734551	0.042054
2	0.563151	0.436849	-2.576072	2.216853	-0.055399
0	0.465133	0.534867	-0.977436	1.005937	0.026582
1	0.457031	0.542969	-1.129565	2.616118	0.041650
2	0.561704	0.438296	-2.367399	2.169008	-0.051473
0	0.453993	0.546007	-0.919170	1.142417	0.028326
1	0.476074	0.523926	-0.968160	3.005912	0.045550
2	0.563440	0.436560	-2.380819	2.553937	-0.052023
0	0.459708	0.540292	-1.326543	0.914827	0.027841
1	0.446289	0.553711	-0.865949	2.771574	0.044826
2	0.564019	0.435981	-2.784229	2.601087	-0.051915
0	0.457248	0.542752	-0.934107	1.099496	0.027725
1	0.460205	0.539795	-0.955408	2.694784	0.044589
2	0.560330	0.439670	-2.329996	2.251415	-0.051933
0	0.460142	0.539858	-1.003189	1.166512	0.026498
1	0.464355	0.535645	-1.225443	2.640232	0.043682
2	0.568432	0.431568	-2.654417	2.718187	-0.053660
0	0.451534	0.548466	-0.854892	1.067463	0.028679
1	0.449707	0.550293	-0.948734	2.647874	0.047350
2	0.557292	0.442708	-2.095933	2.472916	-0.050635
0	0.453342	0.546658	-0.891938	0.966158	0.028445
1	0.463135	0.536865	-1.438236	2.772256	0.045098
2	0.563585	0.436415	-2.323873	2.280890	-0.052766
0	0.454789	0.545211	-1.062379	1.088640	0.028327
1	0.465820	0.534180	-1.126705	3.024674	0.043339
2	0.557509	0.442491	-2.485602	2.720637	-0.049618
0	0.457899	0.542101	-0.961394	1.103226	0.027672
1	0.470459	0.529541	-1.080806	2.713212	0.042732
2	0.562138	0.437862	-2.275306	2.682261	-0.054514
0	0.460938	0.539062	-0.927300	1.035848	0.027882
1	0.464355	0.535645	-1.019695	2.615987	0.045082
2	0.562572	0.437428	-2.234438	2.847768	-0.052911
0	0.454499	0.545501	-0.944221	0.987147	0.027442
1	0.469727	0.530273	-0.968879	2.566324	0.044786
2	0.555411	0.444589	-2.341069	2.151889	-0.051898
0	0.462457	0.537543	-1.022399	1.137807	0.026248
1	0.453613	0.546387	-0.971419	2.649804	0.043562
2	0.564091	0.435909	-2.245407	2.736688	-0.051402
0	0.462312	0.537688	-1.114641	1.040676	0.027194
1	0.467285	0.532715	-0.999745	2.830645	0.046148
2	0.568649	0.431351	-2.339595	2.441626	-0.050942
0	0.455512	0.544488	-0.835010	1.052228	0.027623
1	0.468018	0.531982	-0.964219	2.700330	0.042349
2	0.559751	0.440249	-2.244936	2.232123	-0.051555
0	0.461010	0.538990	-1.119131	1.004307	0.026450
1	0.461670	0.538330	-1.045094	2.766443	0.043730
2	0.572121	0.427879	-2.899452	2.443905	-0.052919
0	0.467159	0.532841	-0.927568	1.144026	0.025306
1	0.470215	0.529785	-1.037846	2.784589	0.042415
2	0.566334	0.433666	-2.429963	2.340448	-0.053699
0	0.461155	0.538845	-0.943948	0.967267	0.026921
1	0.452148	0.547852	-1.168455	2.817093	0.046731
2	0.566334	0.433666	-2.100527	2.358954	-0.052199
