N	AnArea	ArtArea	Diff
0	0.276625	0.290417	0.013792
1	0.275625	0.281319	0.005694
2	0.279500	0.283681	0.004181
3	0.288000	0.283472	-0.004528
4	0.274500	0.278194	0.003694
5	0.277750	0.283750	0.006000
6	0.281000	0.282431	0.001431
7	0.283125	0.282222	-0.000903
8	0.290375	0.282500	-0.007875
9	0.292625	0.281944	-0.010681
10	0.280750	0.292292	0.011542
11	0.295500	0.281944	-0.013556
12	0.287250	0.278542	-0.008708
13	0.282625	0.285556	0.002931
14	0.287125	0.289306	0.002181
15	0.290375	0.278194	-0.012181
16	0.288000	0.276111	-0.011889
17	0.282000	0.282500	0.000500
18	0.277500	0.276389	-0.001111
19	0.285125	0.282500	-0.002625
