N	AnArea	ArtArea	Diff
0	0.465313	0.541190	0.075878
1	0.470313	0.542619	0.072307
2	0.468125	0.535000	0.066875
3	0.464688	0.536548	0.071860
4	0.456562	0.551548	0.094985
5	0.493438	0.543452	0.050015
6	0.466563	0.540119	0.073557
7	0.454375	0.550595	0.096220
8	0.468750	0.541548	0.072798
9	0.472813	0.529167	0.056354
10	0.469688	0.566905	0.097217
11	0.457188	0.529762	0.072574
12	0.476875	0.534048	0.057173
13	0.494063	0.534524	0.040461
14	0.444062	0.535000	0.090938
15	0.472188	0.548214	0.076027
16	0.464687	0.537857	0.073170
17	0.482187	0.537262	0.055074
18	0.468750	0.545833	0.077083
19	0.469687	0.552381	0.082693
