N	AnArea	ArtArea	Diff
0	0.536000	0.496806	-0.039194
1	0.523250	0.492639	-0.030611
2	0.531250	0.491389	-0.039861
3	0.528750	0.516806	-0.011944
4	0.516750	0.489444	-0.027306
5	0.537500	0.496250	-0.041250
6	0.535750	0.497500	-0.038250
7	0.545500	0.488611	-0.056889
8	0.526000	0.504167	-0.021833
9	0.534500	0.501944	-0.032556
10	0.533750	0.496528	-0.037222
11	0.530750	0.492917	-0.037833
12	0.523250	0.495833	-0.027417
13	0.528000	0.493194	-0.034806
14	0.543750	0.491944	-0.051806
15	0.540250	0.493611	-0.046639
16	0.540500	0.490417	-0.050083
17	0.532500	0.490000	-0.042500
18	0.539000	0.505000	-0.034000
19	0.540750	0.499028	-0.041722
