N	AnArea	ArtArea	Diff
0	0.279375	0.278631	-0.000744
1	0.288594	0.287143	-0.001451
2	0.284375	0.278869	-0.005506
3	0.274062	0.279405	0.005342
4	0.273125	0.282381	0.009256
5	0.277188	0.281190	0.004003
6	0.273125	0.283274	0.010149
7	0.277031	0.280357	0.003326
8	0.278750	0.282738	0.003988
9	0.277031	0.282321	0.005290
10	0.277500	0.276667	-0.000833
11	0.272188	0.284583	0.012396
12	0.288750	0.283333	-0.005417
13	0.268125	0.280417	0.012292
14	0.279688	0.283036	0.003348
15	0.279063	0.277679	-0.001384
16	0.272656	0.281786	0.009129
17	0.285625	0.276607	-0.009018
18	0.278438	0.282440	0.004003
19	0.277813	0.284107	0.006295
