N	AnArea	ArtArea	Diff
0	0.307250	0.289722	-0.017528
1	0.309500	0.288194	-0.021306
2	0.311500	0.286944	-0.024556
3	0.309250	0.287778	-0.021472
4	0.304250	0.290139	-0.014111
5	0.305500	0.284444	-0.021056
6	0.305750	0.296250	-0.009500
7	0.310750	0.287500	-0.023250
8	0.305000	0.295694	-0.009306
9	0.309250	0.292083	-0.017167
10	0.310750	0.293472	-0.017278
11	0.307750	0.292639	-0.015111
12	0.308250	0.291944	-0.016306
13	0.304000	0.289583	-0.014417
14	0.308750	0.291111	-0.017639
15	0.317750	0.292083	-0.025667
16	0.311000	0.295972	-0.015028
17	0.304500	0.291111	-0.013389
18	0.310750	0.285417	-0.025333
19	0.312500	0.296250	-0.016250
