N	AnArea	ArtArea	Diff
0	0.305500	0.277639	-0.027861
1	0.294625	0.284167	-0.010458
2	0.281750	0.285417	0.003667
3	0.284750	0.283264	-0.001486
4	0.287500	0.279653	-0.007847
5	0.285000	0.265625	-0.019375
6	0.291375	0.284861	-0.006514
7	0.288000	0.277153	-0.010847
8	0.287250	0.284167	-0.003083
9	0.286750	0.276736	-0.010014
10	0.292250	0.284306	-0.007944
11	0.287000	0.278194	-0.008806
12	0.293000	0.277361	-0.015639
13	0.286000	0.280278	-0.005722
14	0.289125	0.280625	-0.008500
15	0.289250	0.277986	-0.011264
16	0.296000	0.275625	-0.020375
17	0.285750	0.281597	-0.004153
18	0.277625	0.284375	0.006750
19	0.284500	0.280278	-0.004222
