N	AnArea	ArtArea	Diff
0	0.477500	0.543929	0.066429
1	0.471563	0.542500	0.070938
2	0.470000	0.541786	0.071786
3	0.459063	0.536190	0.077128
4	0.446250	0.545476	0.099226
5	0.459375	0.530119	0.070744
6	0.458438	0.535714	0.077277
7	0.457813	0.546071	0.088259
8	0.475313	0.529762	0.054449
9	0.487812	0.547262	0.059449
10	0.465000	0.552976	0.087976
11	0.455313	0.539405	0.084092
12	0.476250	0.545119	0.068869
13	0.484687	0.537857	0.053170
14	0.453750	0.539524	0.085774
15	0.480000	0.547857	0.067857
16	0.454375	0.539524	0.085149
17	0.473437	0.536548	0.063110
18	0.470938	0.545952	0.075015
19	0.479063	0.546905	0.067842
